PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
28686 yugm2     20   0  874172   6956   4148 S   0.0   0.2   0:00.00 wrk
28686 yugm2     20   0  874172   8776   4148 S  37.5   0.2   0:00.49 wrk
28686 yugm2     20   0  874172   8776   4148 S  37.5   0.2   0:00.98 wrk
28686 yugm2     20   0  874172  10624   4148 S  37.5   0.3   0:01.48 wrk
28686 yugm2     20   0  874172  12472   4148 S  43.8   0.3   0:01.97 wrk
28686 yugm2     20   0  874172  14320   4148 S  37.5   0.4   0:02.46 wrk
28686 yugm2     20   0  874172  16168   4148 S  37.5   0.4   0:02.98 wrk
28686 yugm2     20   0  874172  16168   4148 S  37.5   0.4   0:03.50 wrk
28686 yugm2     20   0  874172  16168   4148 S  37.5   0.4   0:03.98 wrk
28686 yugm2     20   0  874172  16168   4148 S  37.5   0.4   0:04.47 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:04.96 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:05.45 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:05.95 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:06.45 wrk
28686 yugm2     20   0  874172  16168   4148 S  46.7   0.4   0:06.96 wrk
28686 yugm2     20   0  874172  16168   4148 S  37.5   0.4   0:07.44 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:07.94 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:08.43 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:08.92 wrk
28686 yugm2     20   0  874172  16168   4148 S  31.2   0.4   0:09.41 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:09.90 wrk
28686 yugm2     20   0  874172  16168   4148 S  43.8   0.4   0:10.42 wrk
28686 yugm2     20   0  874172  16168   4148 S  40.0   0.4   0:10.91 wrk
28686 yugm2     20   0  874172  16168   4148 S  37.5   0.4   0:11.41 wrk
28686 yugm2     20   0  874172  16168   4148 S  37.5   0.4   0:11.90 wrk
