PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
11249 yugm2     20   0  826892  29480   4152 S  29.4   0.8   0:00.05 wrk
11249 yugm2     20   0  826892  31284   4152 S  82.4   0.8   0:01.05 wrk
11249 yugm2     20   0  826892  33636   4152 S  82.4   0.9   0:02.49 wrk
11249 yugm2     20   0  826892  34956   4152 S  76.5   0.9   0:03.85 wrk
11249 yugm2     20   0  826892  36540   4152 S  81.2   1.0   0:05.09 wrk
11249 yugm2     20   0  826892  38124   4152 S  87.5   1.0   0:06.57 wrk
11249 yugm2     20   0  826892  39972   4152 S  81.2   1.1   0:07.85 wrk
11249 yugm2     20   0  826892  41832   4152 S  76.5   1.1   0:09.32 wrk
11249 yugm2     20   0  826892  43152   4152 S  76.5   1.2   0:10.76 wrk
11249 yugm2     20   0  826892  43680   4152 S  76.5   1.2   0:12.30 wrk
11249 yugm2     20   0  826892  43680   4152 S  70.6   1.2   0:14.00 wrk
11249 yugm2     20   0  826892  43680   4152 S  87.5   1.2   0:15.12 wrk
11249 yugm2     20   0  826892  43680   4152 S  75.0   1.2   0:16.19 wrk
11249 yugm2     20   0  826892  43680   4152 S  76.5   1.2   0:17.29 wrk
11249 yugm2     20   0  826892  43680   4152 S  76.5   1.2   0:18.67 wrk
11249 yugm2     20   0  826892  43680   4152 S  82.4   1.2   0:20.01 wrk
11249 yugm2     20   0  826892  43680   4152 S  66.7   1.2   0:21.18 wrk
11249 yugm2     20   0  826892  43680   4152 S  81.2   1.2   0:22.64 wrk
