PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
02436 yugm2     20   0  346652   4664   4164 S   0.0   0.1   0:00.00 wrk
02436 yugm2     20   0  744252  25236   4228 S  87.5   0.7   0:01.18 wrk
02436 yugm2     20   0  744252  27588   4228 S  81.2   0.7   0:02.58 wrk
02436 yugm2     20   0  744252  29172   4228 S  81.2   0.8   0:03.65 wrk
02436 yugm2     20   0  744252  30228   4228 S  70.6   0.8   0:04.74 wrk
02436 yugm2     20   0  744252  31548   4228 S  76.5   0.8   0:05.77 wrk
02436 yugm2     20   0  744252  33132   4228 S  81.2   0.9   0:07.01 wrk
02436 yugm2     20   0  744252  34852   4228 S  70.6   0.9   0:08.27 wrk
02436 yugm2     20   0  744252  34852   4228 S  82.4   0.9   0:09.43 wrk
02436 yugm2     20   0  744252  34852   4228 S  70.6   0.9   0:10.58 wrk
02436 yugm2     20   0  744252  34852   4228 S  76.5   0.9   0:11.66 wrk
02436 yugm2     20   0  744252  34852   4228 S  76.5   0.9   0:12.83 wrk
02436 yugm2     20   0  744252  34852   4228 S  81.2   0.9   0:14.12 wrk
02436 yugm2     20   0  744252  34852   4228 S  81.2   0.9   0:15.28 wrk
02436 yugm2     20   0  744252  34852   4228 S  81.2   0.9   0:16.56 wrk
02436 yugm2     20   0  744252  34852   4228 S  70.6   0.9   0:17.84 wrk
02436 yugm2     20   0  744252  34852   4228 S  76.5   0.9   0:19.10 wrk
02436 yugm2     20   0  744252  34852   4228 S  76.5   0.9   0:20.25 wrk
02436 yugm2     20   0  744252  34852   4228 S  70.6   0.9   0:21.45 wrk
02436 yugm2     20   0  744252  34852   4228 S  81.2   0.9   0:22.78 wrk
