PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
39270 yugm2     20   0 1173316  70708   4152 S   5.9   1.9   0:00.01 wrk
39270 yugm2     20   0 1173316  70708   4152 S 111.1   1.9   0:00.60 wrk
39270 yugm2     20   0 1173316  73184   4152 S 100.0   2.0   0:01.92 wrk
39270 yugm2     20   0 1173316  75296   4152 S  88.9   2.0   0:03.07 wrk
39270 yugm2     20   0 1173316  75560   4152 S  82.4   2.0   0:04.22 wrk
39270 yugm2     20   0 1173316  75560   4152 S  72.2   2.0   0:05.28 wrk
39270 yugm2     20   0 1173316  77144   4152 S  70.6   2.1   0:06.23 wrk
39270 yugm2     20   0 1173316  77408   4152 S  58.8   2.1   0:07.26 wrk
39270 yugm2     20   0 1173316  79640   4152 S  47.1   2.1   0:08.31 wrk
39270 yugm2     20   0 1173316  79904   4152 S  47.1   2.1   0:09.08 wrk
39270 yugm2     20   0 1173316  80696   4152 S  47.1   2.2   0:10.94 wrk
39270 yugm2     20   0 1173316  81752   4152 S  47.1   2.2   0:11.71 wrk
39270 yugm2     20   0 1173316  82016   4152 S  35.3   2.2   0:13.17 wrk
39270 yugm2     20   0 1173316  84128   4152 S  23.5   2.2   0:13.59 wrk
39270 yugm2     20   0 1173316  84128   4152 S  29.4   2.2   0:13.92 wrk
39270 yugm2     20   0 1173316  84392   4152 S  17.6   2.3   0:14.20 wrk
39270 yugm2     20   0 1173316  84656   4152 S  23.5   2.3   0:14.48 wrk
39270 yugm2     20   0 1173316  84656   4152 S  11.8   2.3   0:14.71 wrk
