PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
51349 yugm2     20   0  625340 131700   4224 S  11.8   3.5   0:00.02 wrk
51349 yugm2     20   0  625340 131972   4224 S 127.8   3.5   0:01.12 wrk
51349 yugm2     20   0  625340 131972   4224 S 111.1   3.5   0:02.75 wrk
51349 yugm2     20   0  625340 132500   4224 S 123.5   3.5   0:04.48 wrk
51349 yugm2     20   0  625340 132500   4224 S 100.0   3.5   0:06.07 wrk
51349 yugm2     20   0  625340 132500   4224 S 122.2   3.5   0:07.60 wrk
51349 yugm2     20   0  625340 132500   4224 S 117.6   3.5   0:09.09 wrk
51349 yugm2     20   0  625340 132500   4224 S 100.0   3.5   0:10.65 wrk
51349 yugm2     20   0  625340 132948   4224 S 100.0   3.6   0:12.10 wrk
51349 yugm2     20   0  625340 132948   4224 S 105.9   3.6   0:13.43 wrk
51349 yugm2     20   0  625340 132948   4224 S 100.0   3.6   0:14.70 wrk
51349 yugm2     20   0  625340 132948   4224 S 100.0   3.6   0:16.00 wrk
51349 yugm2     20   0  625340 132948   4224 S  83.3   3.6   0:17.31 wrk
51349 yugm2     20   0  625340 133476   4224 S  82.4   3.6   0:18.48 wrk
51349 yugm2     20   0  625340 133476   4224 S  88.2   3.6   0:19.66 wrk
51349 yugm2     20   0  625340 133476   4224 S  76.5   3.6   0:20.77 wrk
51349 yugm2     20   0  625340 133476   4224 S  76.5   3.6   0:21.82 wrk
51349 yugm2     20   0  625340 133476   4224 S  70.6   3.6   0:22.81 wrk
51349 yugm2     20   0  625340 133476   4224 S  72.2   3.6   0:23.88 wrk
51349 yugm2     20   0  625340 133476   4224 S  58.8   3.6   0:24.87 wrk
51349 yugm2     20   0  625340 133476   4224 S  64.7   3.6   0:25.92 wrk
51349 yugm2     20   0  625340 133740   4224 S  70.6   3.6   0:26.86 wrk
