PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
16368 yugm2     20   0 1038332 162932   4212 S   5.9   4.4   0:00.04 wrk
16368 yugm2     20   0 1038332 164444   4212 S 119.0   4.4   0:02.90 wrk
16368 yugm2     20   0 1038332 164444   4212 S 131.6   4.4   0:04.80 wrk
16368 yugm2     20   0 1038332 166028   4212 S 122.2   4.4   0:07.90 wrk
16368 yugm2     20   0 1038332 166292   4212 S 133.3   4.4   0:10.47 wrk
16368 yugm2     20   0 1038332 167832   4212 S 121.1   4.5   0:12.24 wrk
16368 yugm2     20   0 1038332 167832   4212 S 127.8   4.5   0:13.96 wrk
16368 yugm2     20   0 1038332 167832   4212 S 123.5   4.5   0:15.59 wrk
16368 yugm2     20   0 1038332 167832   4212 S 110.5   4.5   0:17.30 wrk
16368 yugm2     20   0 1038332 168624   4212 S 116.7   4.5   0:18.86 wrk
16368 yugm2     20   0 1038332 168624   4212 S 122.2   4.5   0:20.46 wrk
16368 yugm2     20   0 1038332 168624   4212 S  94.4   4.5   0:21.86 wrk
16368 yugm2     20   0 1038332 168888   4212 S  94.4   4.5   0:23.29 wrk
16368 yugm2     20   0 1038332 168888   4212 S 105.6   4.5   0:24.72 wrk
16368 yugm2     20   0 1038332 169152   4212 S 111.8   4.5   0:26.13 wrk
16368 yugm2     20   0 1038332 169152   4212 S  88.9   4.5   0:27.50 wrk
16368 yugm2     20   0 1038332 169416   4212 S  88.9   4.5   0:28.83 wrk
16368 yugm2     20   0 1038332 169944   4212 S  88.9   4.5   0:30.21 wrk
16368 yugm2     20   0 1038332 170208   4212 S  82.4   4.5   0:31.35 wrk
16368 yugm2     20   0 1038332 170208   4212 S  82.4   4.5   0:32.48 wrk
