PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
36625 yugm2     20   0  655436  84640   4268 S   5.9   2.3   0:00.01 wrk
36625 yugm2     20   0  655436  84640   4268 S 123.5   2.3   0:00.38 wrk
36625 yugm2     20   0  655436  85264   4268 S  94.1   2.3   0:01.65 wrk
36625 yugm2     20   0  655436  86056   4268 S  88.9   2.3   0:02.90 wrk
36625 yugm2     20   0  655436  86056   4268 S  76.5   2.3   0:04.05 wrk
36625 yugm2     20   0  655436  86056   4268 S  58.8   2.3   0:05.02 wrk
36625 yugm2     20   0  655436  86056   4268 S  64.7   2.3   0:05.94 wrk
36625 yugm2     20   0  655436  86848   4268 S  58.8   2.3   0:06.82 wrk
36625 yugm2     20   0  655436  87468   4268 S  58.8   2.3   0:07.64 wrk
36625 yugm2     20   0  655436  87468   4268 S  47.1   2.3   0:08.44 wrk
36625 yugm2     20   0  655436  87468   4268 S  64.7   2.3   0:09.41 wrk
36625 yugm2     20   0  655436  87996   4268 S  52.9   2.4   0:10.67 wrk
36625 yugm2     20   0  655436  88260   4268 S  52.9   2.4   0:11.52 wrk
36625 yugm2     20   0  655436  88260   4268 S  47.1   2.4   0:12.22 wrk
36625 yugm2     20   0  655436  88260   4268 S  43.8   2.4   0:12.80 wrk
36625 yugm2     20   0  655436  88524   4268 S  35.3   2.4   0:13.33 wrk
36625 yugm2     20   0  655436  88524   4268 S  31.2   2.4   0:13.77 wrk
36625 yugm2     20   0  655436  88788   4268 S  23.5   2.4   0:14.12 wrk
36625 yugm2     20   0  655436  88788   4268 S  17.6   2.4   0:14.41 wrk
36625 yugm2     20   0  655436  88788   4268 S  23.5   2.4   0:14.79 wrk
36625 yugm2     20   0  655436  88788   4268 S  29.4   2.4   0:15.21 wrk
36625 yugm2     20   0  655436  89052   4268 S  23.5   2.4   0:15.54 wrk
