PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
74541 yugm2     20   0 2453064 842492   4096 S 150.0  22.5   0:00.54 wrk
74541 yugm2     20   0 2453064 843020   4096 S 141.2  22.5   0:02.90 wrk
74541 yugm2     20   0 2453064 843284   4096 S 133.3  22.5   0:05.70 wrk
74541 yugm2     20   0 2453064 843812   4096 S 122.2  22.6   0:09.18 wrk
74541 yugm2     20   0 2453064 845588   4096 S 126.3  22.6   0:14.54 wrk
74541 yugm2     20   0 2453064 846372   4096 S 133.3  22.6   0:21.08 wrk
74541 yugm2     20   0 2453064 847164   4096 S 121.1  22.6   0:28.37 wrk
74541 yugm2     20   0 2453064 847692   4096 S 115.8  22.7   0:33.29 wrk
74541 yugm2     20   0 2453064 848220   4096 S 127.8  22.7   0:36.38 wrk
74541 yugm2     20   0 1759528 265448   4160 S  27.8   7.1   0:39.40 wrk
