PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
91768 yugm2     20   0 1319572   9304   4184 S  37.5   0.2   0:00.37 wrk
91768 yugm2     20   0 1319572  12684   4184 S  37.5   0.3   0:00.83 wrk
91768 yugm2     20   0 1319572  16116   4184 S  43.8   0.4   0:01.31 wrk
91768 yugm2     20   0 1319572  16116   4184 S  37.5   0.4   0:01.77 wrk
91768 yugm2     20   0 1319572  16116   4184 S  37.5   0.4   0:02.24 wrk
91768 yugm2     20   0 1319572  19548   4184 S  31.2   0.5   0:02.69 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:03.16 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:03.64 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:04.10 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:04.55 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:05.01 wrk
91768 yugm2     20   0 1319572  19548   4184 S  35.3   0.5   0:05.48 wrk
91768 yugm2     20   0 1319572  19548   4184 S  35.3   0.5   0:05.93 wrk
91768 yugm2     20   0 1319572  19548   4184 S  31.2   0.5   0:06.40 wrk
91768 yugm2     20   0 1319572  19548   4184 S  31.2   0.5   0:06.86 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:07.33 wrk
91768 yugm2     20   0 1319572  19548   4184 S  35.3   0.5   0:07.80 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:08.26 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:08.71 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:09.19 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:09.66 wrk
91768 yugm2     20   0 1319572  19548   4184 S  43.8   0.5   0:10.13 wrk
91768 yugm2     20   0 1319572  19548   4184 S  31.2   0.5   0:10.57 wrk
91768 yugm2     20   0 1319572  19548   4184 S  37.5   0.5   0:11.02 wrk
