PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
78757 yugm2     20   0 1526304  11840   4148 S  37.5   0.3   0:00.06 wrk
78757 yugm2     20   0 1526304  17040   4148 S 117.6   0.5   0:01.49 wrk
78757 yugm2     20   0 1526304  22320   4148 S 122.2   0.6   0:03.08 wrk
78757 yugm2     20   0 1526304  27600   4148 S 123.5   0.7   0:04.62 wrk
78757 yugm2     20   0 1526304  32880   4148 S 116.7   0.9   0:06.17 wrk
78757 yugm2     20   0 1526304  37896   4148 S 117.6   1.0   0:07.69 wrk
78757 yugm2     20   0 1526304  37896   4148 S 105.6   1.0   0:09.09 wrk
78757 yugm2     20   0 1526304  37896   4148 S 111.8   1.0   0:10.56 wrk
78757 yugm2     20   0 1526304  38116   4148 S 125.0   1.0   0:12.03 wrk
78757 yugm2     20   0 1526304  38116   4148 S 117.6   1.0   0:13.51 wrk
78757 yugm2     20   0 1526304  38116   4148 S 105.9   1.0   0:15.02 wrk
78757 yugm2     20   0 1526304  38116   4148 S 116.7   1.0   0:16.53 wrk
78757 yugm2     20   0 1526304  38116   4148 S 117.6   1.0   0:17.98 wrk
78757 yugm2     20   0 1526304  38116   4148 S 111.1   1.0   0:19.45 wrk
78757 yugm2     20   0 1526304  38116   4148 S 117.6   1.0   0:20.89 wrk
78757 yugm2     20   0 1526304  38116   4148 S 131.2   1.0   0:22.34 wrk
78757 yugm2     20   0 1526304  38116   4148 S 105.9   1.0   0:23.78 wrk
78757 yugm2     20   0 1526304  38116   4148 S 111.8   1.0   0:25.30 wrk
78757 yugm2     20   0 1526304  38116   4148 S 111.8   1.0   0:26.76 wrk
78757 yugm2     20   0 1526304  38116   4148 S 105.9   1.0   0:28.24 wrk
78757 yugm2     20   0 1526304  38116   4148 S 111.8   1.0   0:29.69 wrk
78757 yugm2     20   0 1526304  39416   4148 S 111.1   1.1   0:31.16 wrk
78757 yugm2     20   0 1526304  39416   4148 S 111.8   1.1   0:32.63 wrk
