PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
24832 yugm2     20   0  650172   5768   4224 S  43.8   0.2   0:00.40 wrk
24832 yugm2     20   0  650172   7880   4224 S  43.8   0.2   0:00.92 wrk
24832 yugm2     20   0  650172   9992   4224 S  43.8   0.3   0:01.45 wrk
24832 yugm2     20   0  650172  12104   4224 S  37.5   0.3   0:01.98 wrk
24832 yugm2     20   0  650172  12104   4224 S  12.5   0.3   0:02.29 wrk
24832 yugm2     20   0  650172  12104   4224 S  37.5   0.3   0:02.69 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:03.17 wrk
24832 yugm2     20   0  650172  12104   4224 S  37.5   0.3   0:03.68 wrk
24832 yugm2     20   0  650172  12104   4224 S  47.1   0.3   0:04.19 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:04.73 wrk
24832 yugm2     20   0  650172  12104   4224 S  41.2   0.3   0:05.25 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:05.78 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:06.30 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:06.84 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:07.35 wrk
24832 yugm2     20   0  650172  12104   4224 S  37.5   0.3   0:07.88 wrk
24832 yugm2     20   0  650172  12104   4224 S  46.7   0.3   0:08.42 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:08.95 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:09.49 wrk
24832 yugm2     20   0  650172  12104   4224 S  37.5   0.3   0:10.00 wrk
24832 yugm2     20   0  650172  12104   4224 S  37.5   0.3   0:10.52 wrk
24832 yugm2     20   0  650172  12104   4224 S  37.5   0.3   0:11.03 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:11.57 wrk
24832 yugm2     20   0  650172  12104   4224 S  43.8   0.3   0:12.09 wrk
