PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
75950 yugm2     20   0 1319572   9400   4288 S  31.2   0.3   0:00.37 wrk
75950 yugm2     20   0 1319572  12780   4288 S  31.2   0.3   0:00.75 wrk
75950 yugm2     20   0 1319572  14364   4288 S  25.0   0.4   0:01.13 wrk
75950 yugm2     20   0 1319572  16212   4288 S  31.2   0.4   0:01.54 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:01.93 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:02.34 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:02.73 wrk
75950 yugm2     20   0 1319572  19644   4288 S  25.0   0.5   0:03.12 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:03.51 wrk
75950 yugm2     20   0 1319572  19644   4288 S  37.5   0.5   0:03.90 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:04.27 wrk
75950 yugm2     20   0 1319572  19644   4288 S  29.4   0.5   0:04.66 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:05.05 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:05.46 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:05.92 wrk
75950 yugm2     20   0 1319572  19644   4288 S  37.5   0.5   0:06.32 wrk
75950 yugm2     20   0 1319572  19644   4288 S  25.0   0.5   0:06.71 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:07.12 wrk
75950 yugm2     20   0 1319572  19644   4288 S  31.2   0.5   0:07.50 wrk
75950 yugm2     20   0 1319572  19644   4288 S  23.5   0.5   0:07.88 wrk
75950 yugm2     20   0 1319572  19644   4288 S  29.4   0.5   0:08.26 wrk
75950 yugm2     20   0 1319572  19644   4288 S  37.5   0.5   0:08.74 wrk
