12:28:27.852277 IP amd256.utah.cloudlab.us.40896 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 124440515:124440574, ack 1256728452, win 502, options [nop,nop,TS val 3589080238 ecr 2617409922], length 59

12:28:27.852303 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40888: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410162 ecr 3589080238], length 123

12:28:27.852319 IP amd256.utah.cloudlab.us.40888 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080238 ecr 2617410162], length 0

12:28:27.852387 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40896: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410162 ecr 3589080238], length 123

12:28:27.852400 IP amd256.utah.cloudlab.us.40896 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080238 ecr 2617410162], length 0

12:28:27.855434 IP amd256.utah.cloudlab.us.40930 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2365213501:2365213560, ack 1186440321, win 502, options [nop,nop,TS val 3589080241 ecr 2617409926], length 59

12:28:27.855496 IP amd256.utah.cloudlab.us.40918 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2111473210:2111473269, ack 2232693151, win 502, options [nop,nop,TS val 3589080241 ecr 2617409926], length 59

12:28:27.855634 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40930: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410166 ecr 3589080241], length 123

12:28:27.855659 IP amd256.utah.cloudlab.us.40930 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080241 ecr 2617410166], length 0

12:28:27.855930 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40918: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410166 ecr 3589080241], length 123

12:28:27.855941 IP amd256.utah.cloudlab.us.40918 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080241 ecr 2617410166], length 0

12:28:27.856359 IP amd256.utah.cloudlab.us.40920 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1974304267:1974304326, ack 1397007140, win 502, options [nop,nop,TS val 3589080242 ecr 2617409926], length 59

12:28:27.856462 IP amd256.utah.cloudlab.us.40942 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1054487122:1054487181, ack 3735635278, win 502, options [nop,nop,TS val 3589080242 ecr 2617409926], length 59

12:28:27.856524 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40920: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410166 ecr 3589080242], length 123

12:28:27.856545 IP amd256.utah.cloudlab.us.40920 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080242 ecr 2617410166], length 0

12:28:27.856573 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40942: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410167 ecr 3589080242], length 123

12:28:27.856594 IP amd256.utah.cloudlab.us.40942 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080242 ecr 2617410167], length 0

12:28:27.856605 IP amd256.utah.cloudlab.us.40954 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1775923097:1775923156, ack 3469312102, win 502, options [nop,nop,TS val 3589080242 ecr 2617409926], length 59

12:28:27.856725 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40954: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410167 ecr 3589080242], length 123

12:28:27.856733 IP amd256.utah.cloudlab.us.40954 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080242 ecr 2617410167], length 0

12:28:27.856733 IP amd256.utah.cloudlab.us.40966 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 2209746119:2209746178, ack 2790225516, win 502, options [nop,nop,TS val 3589080242 ecr 2617409926], length 59

12:28:27.856781 IP amd256.utah.cloudlab.us.40972 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1469201050:1469201109, ack 3724220615, win 502, options [nop,nop,TS val 3589080242 ecr 2617409926], length 59

