PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
87378 yugm2     20   0  695948  50052   4232 S   6.2   1.3   0:00.01 wrk
87378 yugm2     20   0  695948  50052   4232 S 127.8   1.3   0:00.43 wrk
87378 yugm2     20   0  695948  51532   4232 S 105.9   1.4   0:01.82 wrk
87378 yugm2     20   0  695948  51532   4232 S 100.0   1.4   0:03.13 wrk
87378 yugm2     20   0  695948  52324   4232 S 100.0   1.4   0:04.42 wrk
87378 yugm2     20   0  695948  52588   4232 S 100.0   1.4   0:05.69 wrk
87378 yugm2     20   0  695948  53116   4232 S 100.0   1.4   0:06.89 wrk
87378 yugm2     20   0  695948  53380   4232 S  88.2   1.4   0:08.06 wrk
87378 yugm2     20   0  695948  54092   4232 S  88.2   1.4   0:09.25 wrk
87378 yugm2     20   0  695948  54316   4232 S  88.2   1.5   0:10.43 wrk
87378 yugm2     20   0  695948  54580   4232 S  88.2   1.5   0:11.60 wrk
87378 yugm2     20   0  695948  54844   4232 S  76.5   1.5   0:12.66 wrk
87378 yugm2     20   0  695948  55108   4232 S  82.4   1.5   0:13.73 wrk
87378 yugm2     20   0  695948  55372   4232 S  81.2   1.5   0:14.76 wrk
87378 yugm2     20   0  695948  55900   4232 S  81.2   1.5   0:15.75 wrk
87378 yugm2     20   0  695948  55900   4232 S  70.6   1.5   0:16.71 wrk
87378 yugm2     20   0  695948  55900   4232 S  70.6   1.5   0:17.62 wrk
87378 yugm2     20   0  695948  55900   4232 S  61.1   1.5   0:18.47 wrk
87378 yugm2     20   0  695948  55900   4232 S  64.7   1.5   0:20.00 wrk
87378 yugm2     20   0  695948  55900   4232 S  70.6   1.5   0:22.22 wrk
87378 yugm2     20   0  695948  55900   4232 S  62.5   1.5   0:23.37 wrk
