PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
86727 yugm2     20   0  723452   7064   4252 S   6.2   0.2   0:00.01 wrk
86727 yugm2     20   0  723452   8364   4252 S  18.8   0.2   0:00.29 wrk
86727 yugm2     20   0  723452   8364   4252 S  23.5   0.2   0:00.58 wrk
86727 yugm2     20   0  723452  11004   4252 S  18.8   0.3   0:00.86 wrk
86727 yugm2     20   0  723452  12324   4252 S  25.0   0.3   0:01.17 wrk
86727 yugm2     20   0  723452  12324   4252 S  25.0   0.3   0:01.45 wrk
86727 yugm2     20   0  723452  13644   4252 S  18.8   0.4   0:01.74 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:02.02 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:02.31 wrk
86727 yugm2     20   0  723452  13644   4252 S  18.8   0.4   0:02.60 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:02.88 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:03.17 wrk
86727 yugm2     20   0  723452  13644   4252 S  18.8   0.4   0:03.46 wrk
86727 yugm2     20   0  723452  13644   4252 S  18.8   0.4   0:03.74 wrk
86727 yugm2     20   0  723452  13644   4252 S  17.6   0.4   0:04.07 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:04.53 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:04.84 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:05.15 wrk
86727 yugm2     20   0  723452  13644   4252 S  23.5   0.4   0:05.45 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:05.76 wrk
86727 yugm2     20   0  723452  13644   4252 S  18.8   0.4   0:06.03 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:06.34 wrk
86727 yugm2     20   0  723452  13644   4252 S  25.0   0.4   0:06.62 wrk
