PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
32404 yugm2     20   0 1436520 865576   4204 S   0.0  23.1   0:00.14 wrk
32404 yugm2     20   0 1436520 865904   4204 S 136.4  23.1   0:01.59 wrk
32404 yugm2     20   0 1436520 865904   4204 S 138.1  23.1   0:04.29 wrk
32404 yugm2     20   0 1436520 865904   4204 S 136.4  23.1   0:07.07 wrk
32404 yugm2     20   0 1436520 865904   4204 S 125.0  23.1   0:09.87 wrk
32404 yugm2     20   0 1436520 865904   4204 S 142.9  23.1   0:12.57 wrk
32404 yugm2     20   0 1436520 865904   4204 S 147.6  23.1   0:15.33 wrk
32404 yugm2     20   0 1436520 866512   4204 S 155.0  23.2   0:18.16 wrk
32404 yugm2     20   0 1436520 866512   4204 S 126.1  23.2   0:20.99 wrk
32404 yugm2     20   0 1436520 866512   4204 S 142.9  23.2   0:23.73 wrk
32404 yugm2     20   0 1436520 866512   4204 S 136.4  23.2   0:26.64 wrk
32404 yugm2     20   0 1436520 866512   4204 S 147.6  23.2   0:29.55 wrk
32404 yugm2     20   0 1436520 866512   4204 S 142.9  23.2   0:32.30 wrk
32404 yugm2     20   0 1436520 866512   4204 S 145.0  23.2   0:35.09 wrk
32404 yugm2     20   0 1436520 866512   4204 S 134.8  23.2   0:37.99 wrk
32404 yugm2     20   0 1436520 866512   4204 S 150.0  23.2   0:40.75 wrk
32404 yugm2     20   0 1436520 866512   4204 S 138.1  23.2   0:43.55 wrk
32404 yugm2     20   0 1436520 866512   4204 S 150.0  23.2   0:46.25 wrk
32404 yugm2     20   0  858776 292884   4204 S   0.0   7.8   0:47.90 wrk
