PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
00411 yugm2     20   0 1452916  54180   4216 S  82.4   1.4   0:04.16 wrk
00411 yugm2     20   0 1452916  56556   4216 S  88.9   1.5   0:06.27 wrk
00411 yugm2     20   0 1452916  57348   4216 S  83.3   1.5   0:07.60 wrk
00411 yugm2     20   0 1452916  61236   4216 S  77.8   1.6   0:09.47 wrk
00411 yugm2     20   0 1452916  62932   4216 S  76.5   1.7   0:11.50 wrk
00411 yugm2     20   0 1452916  64740   4216 S  64.7   1.7   0:14.42 wrk
00411 yugm2     20   0 1452916  66588   4216 S  55.6   1.8   0:16.50 wrk
