PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
99199 yugm2     20   0 1539720  58976   4188 S   5.9   1.6   0:00.01 wrk
99199 yugm2     20   0 1539720  67532   4188 S 140.0   1.8   0:05.00 wrk
99199 yugm2     20   0 1539720  73340   4188 S 106.1   2.0   0:10.27 wrk
99199 yugm2     20   0 1539720  78620   4188 S 158.3   2.1   0:15.26 wrk
99199 yugm2     20   0 1539720  87440   4188 S 100.0   2.3   0:20.35 wrk
99199 yugm2     20   0 1539720  92720   4188 S 103.0   2.5   0:25.44 wrk
99199 yugm2     20   0 1539720  92984   4188 S 109.4   2.5   0:30.66 wrk
99199 yugm2     20   0 1539720  92984   4188 S 105.9   2.5   0:35.72 wrk
99199 yugm2     20   0 1539720  92984   4188 S 108.6   2.5   0:41.13 wrk
99199 yugm2     20   0 1539720  92984   4188 S 163.2   2.5   0:44.10 wrk
99199 yugm2     20   0 1539720  92984   4188 S 150.0   2.5   0:46.45 wrk
