PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
86843 yugm2     20   0  621104  49700   4140 S   6.2   1.3   0:00.01 wrk
86843 yugm2     20   0  621104  50164   4140 S 130.0   1.3   0:00.73 wrk
86843 yugm2     20   0  621104  51448   4140 S 138.9   1.4   0:02.80 wrk
86843 yugm2     20   0  621104  52240   4140 S 170.6   1.4   0:04.96 wrk
86843 yugm2     20   0  621104  53032   4140 S  70.6   1.4   0:06.65 wrk
86843 yugm2     20   0  621104  53560   4140 S 123.5   1.4   0:07.81 wrk
86843 yugm2     20   0  621104  54088   4140 S  68.8   1.4   0:09.13 wrk
86843 yugm2     20   0  621104  54352   4140 S  75.0   1.5   0:10.02 wrk
86843 yugm2     20   0  621104  55288   4140 S 100.0   1.5   0:11.09 wrk
86843 yugm2     20   0  621104  55552   4140 S  64.7   1.5   0:12.13 wrk
86843 yugm2     20   0  621104  55816   4140 S  81.2   1.5   0:13.11 wrk
86843 yugm2     20   0  621104  56080   4140 S  94.1   1.5   0:14.20 wrk
86843 yugm2     20   0  621104  56608   4140 S  70.6   1.5   0:15.23 wrk
86843 yugm2     20   0  621104  57136   4140 S  82.4   1.5   0:16.51 wrk
86843 yugm2     20   0  621104  57136   4140 S 116.7   1.5   0:18.10 wrk
86843 yugm2     20   0  621104  57136   4140 S 106.2   1.5   0:19.20 wrk
86843 yugm2     20   0  621104  57136   4140 S 125.0   1.5   0:20.84 wrk
86843 yugm2     20   0  621104  57136   4140 S 143.8   1.5   0:22.41 wrk
86843 yugm2     20   0  621104  57136   4140 S 161.1   1.5   0:24.67 wrk
86843 yugm2     20   0  621104  57136   4140 S 127.8   1.5   0:26.87 wrk
86843 yugm2     20   0  621104  57136   4140 S 117.6   1.5   0:28.11 wrk
86843 yugm2     20   0  621104  57136   4140 S 147.1   1.5   0:29.98 wrk
86843 yugm2     20   0  621104  57136   4140 S 158.8   1.5   0:32.27 wrk
