PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
49656 yugm2     20   0 1611556 515944   4164 S  50.0  13.8   0:00.09 wrk
49656 yugm2     20   0 1611556 517548   4164 S 140.6  13.8   0:02.89 wrk
49656 yugm2     20   0 1611556 517812   4164 S 153.8  13.8   0:07.20 wrk
49656 yugm2     20   0 1611556 517812   4164 S 127.3  13.8   0:11.76 wrk
49656 yugm2     20   0 1611556 520184   4164 S 130.0  13.9   0:15.86 wrk
49656 yugm2     20   0 1611556 520184   4164 S 137.5  13.9   0:20.35 wrk
49656 yugm2     20   0 1611556 520184   4164 S 134.4  13.9   0:24.87 wrk
49656 yugm2     20   0 1611556 521176   4164 S 107.4  13.9   0:28.88 wrk
49656 yugm2     20   0 1611556 522180   4164 S 134.5  14.0   0:33.22 wrk
49656 yugm2     20   0 1611556 522420   4164 S 169.0  14.0   0:37.43 wrk
49656 yugm2     20   0 1611556 522664   4164 S 135.5  14.0   0:41.47 wrk
