PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
19047 yugm2     20   0 1647884 149232   4068 S  17.6   4.0   0:00.03 wrk
19047 yugm2     20   0 1647884 153384   4068 S 127.3   4.1   0:01.57 wrk
19047 yugm2     20   0 1647884 153912   4068 S 136.8   4.1   0:03.61 wrk
19047 yugm2     20   0 1647884 153912   4068 S 136.8   4.1   0:05.69 wrk
19047 yugm2     20   0 1647884 154704   4068 S 127.8   4.1   0:07.82 wrk
19047 yugm2     20   0 1647884 156024   4068 S 127.8   4.2   0:09.59 wrk
19047 yugm2     20   0 1647884 159800   4068 S 147.4   4.3   0:12.50 wrk
19047 yugm2     20   0 1647884 161116   4068 S 110.0   4.3   0:14.80 wrk
19047 yugm2     20   0 1647884 161644   4068 S 116.7   4.3   0:16.69 wrk
19047 yugm2     20   0 1647884 161864   4068 S 111.1   4.3   0:18.53 wrk
19047 yugm2     20   0 1647884 162392   4068 S 105.6   4.3   0:20.51 wrk
19047 yugm2     20   0 1647884 162392   4068 S 111.8   4.3   0:22.13 wrk
19047 yugm2     20   0 1647884 162920   4068 S 100.0   4.4   0:23.86 wrk
19047 yugm2     20   0 1647884 162920   4068 S  94.7   4.4   0:25.52 wrk
19047 yugm2     20   0 1647884 163964   4068 S 105.6   4.4   0:27.47 wrk
