12:34:02.129382 IP amd256.utah.cloudlab.us.32996 > amd261.utah.cloudlab.us.8000: Flags [S], seq 1223223305, win 64240, options [mss 1460,sackOK,TS val 3589414515 ecr 0,nop,wscale 7], length 0

12:34:02.129445 IP amd256.utah.cloudlab.us.33008 > amd261.utah.cloudlab.us.8000: Flags [S], seq 4015365474, win 64240, options [mss 1460,sackOK,TS val 3589414515 ecr 0,nop,wscale 7], length 0

12:34:02.129468 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.32996: Flags [S.], seq 905257522, ack 1223223306, win 65160, options [mss 1460,sackOK,TS val 2617744439 ecr 3589414515,nop,wscale 7], length 0

12:34:02.129502 IP amd256.utah.cloudlab.us.32996 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3589414515 ecr 2617744439], length 0

12:34:02.129518 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.33008: Flags [S.], seq 2331328699, ack 4015365475, win 65160, options [mss 1460,sackOK,TS val 2617744439 ecr 3589414515,nop,wscale 7], length 0

12:34:02.129547 IP amd256.utah.cloudlab.us.32996 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3589414515 ecr 2617744439], length 59

12:34:02.129549 IP amd256.utah.cloudlab.us.33008 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3589414515 ecr 2617744439], length 0

12:34:02.129582 IP amd256.utah.cloudlab.us.33008 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3589414515 ecr 2617744439], length 59

12:34:02.129595 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.32996: Flags [.], ack 60, win 509, options [nop,nop,TS val 2617744440 ecr 3589414515], length 0

12:34:02.129612 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.33008: Flags [.], ack 60, win 509, options [nop,nop,TS val 2617744440 ecr 3589414515], length 0

12:34:02.129739 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.32996: Flags [P.], seq 1:124, ack 60, win 509, options [nop,nop,TS val 2617744440 ecr 3589414515], length 123

12:34:02.129756 IP amd256.utah.cloudlab.us.32996 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589414515 ecr 2617744440], length 0

12:34:02.129778 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.33008: Flags [P.], seq 1:124, ack 60, win 509, options [nop,nop,TS val 2617744440 ecr 3589414515], length 123

12:34:02.129795 IP amd256.utah.cloudlab.us.33008 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589414515 ecr 2617744440], length 0

12:34:02.134915 IP amd256.utah.cloudlab.us.33024 > amd261.utah.cloudlab.us.8000: Flags [S], seq 3521322022, win 64240, options [mss 1460,sackOK,TS val 3589414520 ecr 0,nop,wscale 7], length 0

12:34:02.134961 IP amd256.utah.cloudlab.us.33040 > amd261.utah.cloudlab.us.8000: Flags [S], seq 3775432537, win 64240, options [mss 1460,sackOK,TS val 3589414520 ecr 0,nop,wscale 7], length 0

12:34:02.135030 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.33040: Flags [S.], seq 3086210090, ack 3775432538, win 65160, options [mss 1460,sackOK,TS val 2617744445 ecr 3589414520,nop,wscale 7], length 0

12:34:02.135065 IP amd256.utah.cloudlab.us.33040 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3589414521 ecr 2617744445], length 0

12:34:02.135091 IP amd256.utah.cloudlab.us.33040 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3589414521 ecr 2617744445], length 59

12:34:02.135117 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.33040: Flags [.], ack 60, win 509, options [nop,nop,TS val 2617744445 ecr 3589414521], length 0

