PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
60638 yugm2     20   0  346652   4524   4024 S   0.0   0.1   0:00.00 wrk
60638 yugm2     20   0  594572  22956   4024 S  76.5   0.6   0:00.14 wrk
60638 yugm2     20   0  594572  23964   4024 S 112.5   0.6   0:01.48 wrk
60638 yugm2     20   0  594572  25284   4024 S 112.5   0.7   0:02.86 wrk
60638 yugm2     20   0  594572  26340   4024 S  62.5   0.7   0:03.84 wrk
60638 yugm2     20   0  594572  26868   4024 S  94.1   0.7   0:04.95 wrk
60638 yugm2     20   0  594572  28452   4024 S 118.8   0.8   0:06.18 wrk
60638 yugm2     20   0  594572  29244   4024 S 111.8   0.8   0:07.59 wrk
60638 yugm2     20   0  594572  30008   4024 S 100.0   0.8   0:08.96 wrk
60638 yugm2     20   0  594572  30500   4024 S 106.2   0.8   0:10.34 wrk
60638 yugm2     20   0  594572  30764   4024 S 100.0   0.8   0:11.73 wrk
60638 yugm2     20   0  594572  30764   4024 S 112.5   0.8   0:13.12 wrk
60638 yugm2     20   0  594572  30764   4024 S 105.9   0.8   0:14.50 wrk
60638 yugm2     20   0  594572  30764   4024 S 105.9   0.8   0:15.87 wrk
60638 yugm2     20   0  594572  30764   4024 S 106.2   0.8   0:17.30 wrk
60638 yugm2     20   0  594572  30764   4024 S 105.9   0.8   0:18.73 wrk
60638 yugm2     20   0  594572  30764   4024 S 106.2   0.8   0:20.17 wrk
60638 yugm2     20   0  594572  30764   4024 S 105.9   0.8   0:21.56 wrk
60638 yugm2     20   0  594572  30764   4024 S 118.8   0.8   0:22.98 wrk
60638 yugm2     20   0  594572  30764   4024 S 105.9   0.8   0:24.36 wrk
60638 yugm2     20   0  594572  30764   4024 S 105.9   0.8   0:25.75 wrk
60638 yugm2     20   0  594572  30764   4024 S 112.5   0.8   0:27.15 wrk
60638 yugm2     20   0  594572  30764   4024 S 112.5   0.8   0:28.55 wrk
60638 yugm2     20   0  594572  30764   4024 S 106.2   0.8   0:29.94 wrk
