PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
54675 yugm2     20   0 1070488 117924   4264 S   5.9   3.2   0:00.02 wrk
54675 yugm2     20   0 1070488 119784   4264 S  94.4   3.2   0:01.50 wrk
54675 yugm2     20   0 1070488 120048   4264 S  88.2   3.2   0:03.43 wrk
54675 yugm2     20   0 1070488 121896   4264 S  88.9   3.3   0:08.51 wrk
54675 yugm2     20   0 1070488 123724   4264 S  82.4   3.3   0:11.26 wrk
54675 yugm2     20   0 1070488 123948   4264 S  83.3   3.3   0:13.36 wrk
54675 yugm2     20   0 1070488 123948   4264 S  66.7   3.3   0:15.13 wrk
54675 yugm2     20   0 1070488 124740   4264 S  68.4   3.3   0:17.92 wrk
54675 yugm2     20   0 1070488 125268   4264 S  82.4   3.3   0:19.92 wrk
54675 yugm2     20   0 1070488 125268   4264 S  64.7   3.3   0:20.97 wrk
54675 yugm2     20   0 1070488 125268   4264 S  61.1   3.3   0:21.96 wrk
54675 yugm2     20   0 1070488 125268   4264 S  61.1   3.3   0:22.88 wrk
54675 yugm2     20   0 1070488 125532   4264 S  70.6   3.4   0:23.95 wrk
