12:14:32.176404 IP amd256.utah.cloudlab.us.48166 > boss.utah.cloudlab.us.domain: 35658+ [1au] A? amd261.utah.cloudlab.us. (52)

12:14:32.176536 IP amd256.utah.cloudlab.us.44659 > boss.utah.cloudlab.us.domain: 3140+ [1au] AAAA? amd261.utah.cloudlab.us. (52)

12:14:32.176874 IP amd256.utah.cloudlab.us.37156 > amd261.utah.cloudlab.us.8000: Flags [S], seq 1459702498, win 64240, options [mss 1460,sackOK,TS val 3588244562 ecr 0,nop,wscale 7], length 0

12:14:32.177098 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.37156: Flags [S.], seq 4133872045, ack 1459702499, win 65160, options [mss 1460,sackOK,TS val 2616574487 ecr 3588244562,nop,wscale 7], length 0

12:14:32.177135 IP amd256.utah.cloudlab.us.37156 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3588244563 ecr 2616574487], length 0

12:14:32.177171 IP amd256.utah.cloudlab.us.37156 > amd261.utah.cloudlab.us.8000: Flags [F.], seq 1, ack 1, win 502, options [nop,nop,TS val 3588244563 ecr 2616574487], length 0

12:14:32.177420 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.37156: Flags [F.], seq 1, ack 2, win 510, options [nop,nop,TS val 2616574488 ecr 3588244563], length 0

12:14:32.177448 IP amd256.utah.cloudlab.us.37156 > amd261.utah.cloudlab.us.8000: Flags [.], ack 2, win 502, options [nop,nop,TS val 3588244563 ecr 2616574488], length 0

12:14:32.177643 IP amd256.utah.cloudlab.us.37162 > amd261.utah.cloudlab.us.8000: Flags [S], seq 3814190349, win 64240, options [mss 1460,sackOK,TS val 3588244563 ecr 0,nop,wscale 7], length 0

12:14:32.177750 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.37162: Flags [S.], seq 2765030155, ack 3814190350, win 65160, options [mss 1460,sackOK,TS val 2616574488 ecr 3588244563,nop,wscale 7], length 0

12:14:32.177771 IP amd256.utah.cloudlab.us.37162 > amd261.utah.cloudlab.us.8000: Flags [.], ack 1, win 502, options [nop,nop,TS val 3588244563 ecr 2616574488], length 0

12:14:32.177824 IP amd256.utah.cloudlab.us.37162 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 1:60, ack 1, win 502, options [nop,nop,TS val 3588244563 ecr 2616574488], length 59

