PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
84773 yugm2     20   0 6944092   1.0g   4216 S 168.4  27.4   0:00.54 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 138.9  27.5   0:02.49 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 127.8  27.5   0:04.36 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 144.4  27.5   0:06.36 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 131.6  27.5   0:08.28 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 155.6  27.6   0:10.17 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 122.2  27.6   0:12.02 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 155.6  27.7   0:13.94 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 133.3  27.7   0:16.11 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 126.3  27.7   0:18.11 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 150.0  27.8   0:20.03 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 116.7  27.8   0:22.13 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 131.6  27.8   0:24.16 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 131.6  27.9   0:26.08 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 136.8  27.9   0:28.04 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 136.8  27.9   0:30.06 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 122.2  27.9   0:31.96 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 138.9  28.0   0:33.96 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 127.8  28.0   0:35.92 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 126.3  28.0   0:37.85 wrk
84773 yugm2     20   0 6944092   1.0g   4216 S 126.3  28.1   0:39.74 wrk
