PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
61410 yugm2     20   0  877812   7012   4204 S  11.8   0.2   0:00.02 wrk
61410 yugm2     20   0  877812   8832   4204 S  62.5   0.2   0:00.73 wrk
61410 yugm2     20   0  877812  10680   4204 S  68.8   0.3   0:01.51 wrk
61410 yugm2     20   0  877812  14376   4204 S  62.5   0.4   0:02.30 wrk
61410 yugm2     20   0  877812  16224   4204 S  64.7   0.4   0:03.11 wrk
61410 yugm2     20   0  877812  18072   4204 S  64.7   0.5   0:03.90 wrk
61410 yugm2     20   0  877812  19920   4204 S  62.5   0.5   0:04.69 wrk
61410 yugm2     20   0  877812  19920   4204 S  64.7   0.5   0:05.48 wrk
61410 yugm2     20   0  877812  19920   4204 S  58.8   0.5   0:06.27 wrk
61410 yugm2     20   0  877812  19920   4204 S  52.9   0.5   0:07.07 wrk
61410 yugm2     20   0  877812  19920   4204 S  62.5   0.5   0:07.87 wrk
61410 yugm2     20   0  877812  19920   4204 S  58.8   0.5   0:08.64 wrk
61410 yugm2     20   0  877812  19920   4204 S  70.6   0.5   0:09.42 wrk
61410 yugm2     20   0  877812  19920   4204 S  62.5   0.5   0:10.22 wrk
61410 yugm2     20   0  877812  19920   4204 S  68.8   0.5   0:11.03 wrk
61410 yugm2     20   0  877812  19920   4204 S  68.8   0.5   0:11.82 wrk
61410 yugm2     20   0  877812  19920   4204 S  68.8   0.5   0:12.62 wrk
61410 yugm2     20   0  877812  19920   4204 S  62.5   0.5   0:13.41 wrk
61410 yugm2     20   0  877812  19920   4204 S  58.8   0.5   0:14.21 wrk
61410 yugm2     20   0  877812  19920   4204 S  68.8   0.5   0:15.00 wrk
61410 yugm2     20   0  877812  19920   4204 S  64.7   0.5   0:15.79 wrk
61410 yugm2     20   0  877812  19920   4204 S  52.9   0.5   0:16.58 wrk
61410 yugm2     20   0  877812  19920   4204 S  58.8   0.5   0:17.38 wrk
61410 yugm2     20   0  877812  19920   4204 S  58.8   0.5   0:18.17 wrk
