PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
33431 yugm2     20   0 1795428  13924   4116 S  35.3   0.4   0:00.06 wrk
33431 yugm2     20   0 1795428  26924   4116 S  88.2   0.7   0:01.33 wrk
33431 yugm2     20   0 1795428  26924   4116 S  87.5   0.7   0:02.48 wrk
33431 yugm2     20   0 1795428  26924   4116 S  88.2   0.7   0:03.60 wrk
33431 yugm2     20   0 1795428  26924   4116 S  77.8   0.7   0:04.77 wrk
33431 yugm2     20   0 1795428  39332   4116 S  83.3   1.1   0:06.04 wrk
33431 yugm2     20   0 1795428  39332   4116 S  82.4   1.1   0:07.20 wrk
33431 yugm2     20   0 1795428  39332   4116 S  76.5   1.1   0:08.30 wrk
33431 yugm2     20   0 1795428  50332   4116 S  72.2   1.3   0:09.40 wrk
33431 yugm2     20   0 1795428  50332   4116 S  70.6   1.3   0:10.47 wrk
33431 yugm2     20   0 1795428  50332   4116 S  70.6   1.3   0:11.40 wrk
33431 yugm2     20   0 1795428  50332   4116 S  58.8   1.3   0:12.32 wrk
33431 yugm2     20   0 1795428  50332   4116 S  58.8   1.3   0:13.34 wrk
33431 yugm2     20   0 1795428  50332   4116 S  70.6   1.3   0:14.20 wrk
33431 yugm2     20   0 1795428  50332   4116 S  52.9   1.3   0:15.66 wrk
33431 yugm2     20   0 1795428  50332   4116 S  52.9   1.3   0:16.83 wrk
33431 yugm2     20   0 1795428  50332   4116 S  50.0   1.3   0:17.51 wrk
33431 yugm2     20   0 1795428  50332   4116 S  47.1   1.3   0:18.22 wrk
33431 yugm2     20   0 1795428  50332   4116 S  47.1   1.3   0:18.97 wrk
33431 yugm2     20   0 1795428  50332   4116 S  47.1   1.3   0:19.64 wrk
33431 yugm2     20   0 1795428  50332   4116 S  41.2   1.3   0:20.29 wrk
