PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
50056 yugm2     20   0 1515772   9800   4156 S   0.0   0.3   0:00.00 wrk
50056 yugm2     20   0 1515772   9800   4156 S  56.2   0.3   0:00.76 wrk
50056 yugm2     20   0 1515772  15000   4156 S  58.8   0.4   0:01.53 wrk
50056 yugm2     20   0 1515772  20280   4156 S  56.2   0.5   0:02.30 wrk
50056 yugm2     20   0 1515772  20280   4156 S  58.8   0.5   0:03.07 wrk
50056 yugm2     20   0 1515772  25560   4156 S  52.9   0.7   0:03.84 wrk
50056 yugm2     20   0 1515772  25560   4156 S  58.8   0.7   0:04.61 wrk
50056 yugm2     20   0 1515772  25560   4156 S  62.5   0.7   0:05.38 wrk
50056 yugm2     20   0 1515772  25560   4156 S  68.8   0.7   0:06.17 wrk
50056 yugm2     20   0 1515772  25560   4156 S  52.9   0.7   0:06.92 wrk
50056 yugm2     20   0 1515772  25560   4156 S  58.8   0.7   0:07.68 wrk
50056 yugm2     20   0 1515772  25560   4156 S  52.9   0.7   0:08.45 wrk
50056 yugm2     20   0 1515772  25560   4156 S  31.2   0.7   0:09.13 wrk
50056 yugm2     20   0 1515772  25560   4156 S  37.5   0.7   0:09.50 wrk
50056 yugm2     20   0 1515772  25560   4156 S  37.5   0.7   0:09.96 wrk
50056 yugm2     20   0 1515772  25560   4156 S  56.2   0.7   0:10.61 wrk
50056 yugm2     20   0 1515772  25560   4156 S  52.9   0.7   0:11.33 wrk
50056 yugm2     20   0 1515772  25560   4156 S  56.2   0.7   0:12.10 wrk
50056 yugm2     20   0 1515772  25560   4156 S  62.5   0.7   0:12.85 wrk
50056 yugm2     20   0 1515772  25560   4156 S  52.9   0.7   0:13.65 wrk
50056 yugm2     20   0 1515772  25560   4156 S  62.5   0.7   0:14.41 wrk
50056 yugm2     20   0 1515772  25560   4156 S  52.9   0.7   0:15.16 wrk
50056 yugm2     20   0 1515772  25560   4156 S  64.7   0.7   0:15.92 wrk
50056 yugm2     20   0 1515772  25560   4156 S  58.8   0.7   0:16.68 wrk
