PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
89342 yugm2     20   0  573316  80388   4108 S   5.9   2.1   0:00.01 wrk
89342 yugm2     20   0  573316  80576   4108 S 114.3   2.2   0:01.02 wrk
89342 yugm2     20   0  573316  81024   4108 S 105.9   2.2   0:02.98 wrk
89342 yugm2     20   0  573316  81024   4108 S 144.4   2.2   0:04.48 wrk
89342 yugm2     20   0  573316  81288   4108 S 164.7   2.2   0:06.88 wrk
89342 yugm2     20   0  573316  81552   4108 S 152.9   2.2   0:09.08 wrk
89342 yugm2     20   0  573316  81552   4108 S 158.8   2.2   0:11.11 wrk
89342 yugm2     20   0  573316  82272   4108 S 152.9   2.2   0:13.23 wrk
89342 yugm2     20   0  573316  82272   4108 S 133.3   2.2   0:15.38 wrk
89342 yugm2     20   0  573316  82536   4108 S  94.1   2.2   0:17.02 wrk
89342 yugm2     20   0  573316  82536   4108 S 141.2   2.2   0:18.52 wrk
89342 yugm2     20   0  573316  82800   4108 S 152.9   2.2   0:20.74 wrk
89342 yugm2     20   0  573316  82800   4108 S 144.4   2.2   0:22.82 wrk
89342 yugm2     20   0  573316  83064   4108 S 155.6   2.2   0:24.97 wrk
89342 yugm2     20   0  573316  83328   4108 S 128.6   2.2   0:26.97 wrk
89342 yugm2     20   0  573316  83328   4108 S 133.3   2.2   0:28.86 wrk
89342 yugm2     20   0  573316  83328   4108 S 129.4   2.2   0:30.70 wrk
89342 yugm2     20   0  573316  83328   4108 S 141.2   2.2   0:32.50 wrk
89342 yugm2     20   0  573316  83328   4108 S 141.2   2.2   0:34.20 wrk
89342 yugm2     20   0  573316  83328   4108 S 135.3   2.2   0:36.12 wrk
89342 yugm2     20   0  573316  83328   4108 S 147.1   2.2   0:37.97 wrk
89342 yugm2     20   0  573316  83328   4108 S 133.3   2.2   0:39.82 wrk
