PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
06722 yugm2     20   0  500492   6740   4188 S  12.5   0.2   0:00.02 wrk
06722 yugm2     20   0  500492   7528   4188 S  33.3   0.2   0:00.40 wrk
06722 yugm2     20   0  500492   8312   4188 S  31.2   0.2   0:00.82 wrk
06722 yugm2     20   0  500492   9632   4188 S  37.5   0.3   0:01.23 wrk
06722 yugm2     20   0  500492  10424   4188 S  25.0   0.3   0:01.63 wrk
06722 yugm2     20   0  500492  10424   4188 S  40.0   0.3   0:02.05 wrk
06722 yugm2     20   0  500492  10424   4188 S  37.5   0.3   0:02.46 wrk
06722 yugm2     20   0  500492  10424   4188 S  37.5   0.3   0:02.87 wrk
06722 yugm2     20   0  500492  10424   4188 S  31.2   0.3   0:03.30 wrk
06722 yugm2     20   0  500492  10424   4188 S  37.5   0.3   0:03.72 wrk
06722 yugm2     20   0  500492  10424   4188 S  37.5   0.3   0:04.13 wrk
06722 yugm2     20   0  500492  10424   4188 S  31.2   0.3   0:04.55 wrk
06722 yugm2     20   0  500492  10424   4188 S  31.2   0.3   0:04.98 wrk
06722 yugm2     20   0  500492  10424   4188 S  31.2   0.3   0:05.35 wrk
06722 yugm2     20   0  500492  10424   4188 S  31.2   0.3   0:05.76 wrk
06722 yugm2     20   0  500492  10424   4188 S  37.5   0.3   0:06.19 wrk
06722 yugm2     20   0  500492  10424   4188 S  43.8   0.3   0:06.62 wrk
06722 yugm2     20   0  500492  10424   4188 S  37.5   0.3   0:07.02 wrk
06722 yugm2     20   0  500492  10424   4188 S  31.2   0.3   0:07.42 wrk
06722 yugm2     20   0  500492  10424   4188 S  31.2   0.3   0:07.86 wrk
06722 yugm2     20   0  500492  10424   4188 S  33.3   0.3   0:08.29 wrk
06722 yugm2     20   0  500492  10424   4188 S  25.0   0.3   0:08.72 wrk
06722 yugm2     20   0  500492  10424   4188 S  37.5   0.3   0:09.13 wrk
06722 yugm2     20   0  500492  10424   4188 S  25.0   0.3   0:09.53 wrk
06722 yugm2     20   0  500492  10424   4188 S  18.8   0.3   0:09.88 wrk
