20:17:21.731766 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.37812: Flags [P.], seq 3880657980:3880658103, ack 362332052, win 509, options [nop,nop,TS val 3163944042 ecr 4135613116], length 123

20:17:21.731790 IP amd256.utah.cloudlab.us.37812 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135614117 ecr 3163944042], length 0

20:17:21.731865 IP amd256.utah.cloudlab.us.37812 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135614117 ecr 3163944042], length 54

20:17:21.731931 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.37812: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163944042 ecr 4135614117], length 0

20:17:21.737457 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.37822: Flags [P.], seq 2080013571:2080013694, ack 3384914431, win 509, options [nop,nop,TS val 3163944048 ecr 4135613122], length 123

20:17:21.737486 IP amd256.utah.cloudlab.us.37822 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135614123 ecr 3163944048], length 0

20:17:21.737549 IP amd256.utah.cloudlab.us.37822 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135614123 ecr 3163944048], length 54

20:17:21.737608 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.37822: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163944048 ecr 4135614123], length 0

20:17:21.740964 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.37832: Flags [P.], seq 2586974609:2586974732, ack 2472866514, win 509, options [nop,nop,TS val 3163944051 ecr 4135613126], length 123

20:17:21.740984 IP amd256.utah.cloudlab.us.37832 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135614126 ecr 3163944051], length 0

20:17:21.741043 IP amd256.utah.cloudlab.us.37832 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135614126 ecr 3163944051], length 54

20:17:21.741277 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.37832: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163944052 ecr 4135614126], length 0

20:17:21.746587 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.37842: Flags [P.], seq 171094013:171094136, ack 2446928221, win 509, options [nop,nop,TS val 3163944057 ecr 4135613131], length 123

20:17:21.746620 IP amd256.utah.cloudlab.us.37842 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135614132 ecr 3163944057], length 0

