PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
25886 yugm2     20   0  703496 209520   4220 S  16.7   5.6   0:00.03 wrk
25886 yugm2     20   0  703496 209904   4220 S 119.0   5.6   0:01.22 wrk
25886 yugm2     20   0  703496 210168   4220 S 140.0   5.6   0:03.72 wrk
25886 yugm2     20   0  703496 210168   4220 S 142.9   5.6   0:06.55 wrk
25886 yugm2     20   0  703496 210168   4220 S 133.3   5.6   0:09.26 wrk
25886 yugm2     20   0  703496 210696   4220 S 142.1   5.6   0:11.78 wrk
25886 yugm2     20   0  703496 210920   4220 S 128.6   5.6   0:14.38 wrk
25886 yugm2     20   0  703496 211144   4220 S 147.6   5.6   0:17.05 wrk
25886 yugm2     20   0  703496 211144   4220 S 135.0   5.6   0:19.68 wrk
25886 yugm2     20   0  703496 211144   4220 S 128.6   5.6   0:22.17 wrk
25886 yugm2     20   0  703496 211408   4220 S 147.6   5.7   0:24.79 wrk
25886 yugm2     20   0  703496 211408   4220 S 140.0   5.7   0:27.42 wrk
25886 yugm2     20   0  703496 211672   4220 S 155.6   5.7   0:30.06 wrk
25886 yugm2     20   0  703496 211672   4220 S 131.8   5.7   0:32.58 wrk
25886 yugm2     20   0  703496 211672   4220 S 142.9   5.7   0:35.25 wrk
25886 yugm2     20   0  703496 211936   4220 S 155.6   5.7   0:37.65 wrk
25886 yugm2     20   0  703496 211936   4220 S 128.6   5.7   0:40.33 wrk
25886 yugm2     20   0  703496 211936   4220 S 128.6   5.7   0:42.95 wrk
