PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
77167 yugm2     20   0 5624452 599524   4224 S  52.9  16.0   0:00.09 wrk
77167 yugm2     20   0 5624452 996.8m   4224 S  88.9  27.3   0:00.48 wrk
77167 yugm2     20   0 5624452 996.8m   4224 S  88.9  27.3   0:01.67 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  94.1  27.3   0:02.84 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:04.00 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:05.11 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  83.3  27.3   0:06.25 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  94.4  27.3   0:07.44 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  83.3  27.3   0:08.56 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:09.71 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:10.86 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:12.01 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:13.16 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  83.3  27.3   0:14.32 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  94.4  27.3   0:15.52 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:16.67 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  83.3  27.3   0:17.82 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:18.96 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:20.11 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  84.2  27.3   0:21.28 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:22.52 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  88.9  27.3   0:23.67 wrk
77167 yugm2     20   0 5624452 997.1m   4224 S  84.2  27.3   0:24.82 wrk
