20:16:03.590710 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50614: Flags [P.], seq 1220697588:1220697711, ack 2101744124, win 509, options [nop,nop,TS val 3163865901 ecr 4135534976], length 123

20:16:03.590739 IP amd256.utah.cloudlab.us.50614 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135535976 ecr 3163865901], length 0

20:16:03.590825 IP amd256.utah.cloudlab.us.50614 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135535976 ecr 3163865901], length 54

20:16:03.590889 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50614: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163865901 ecr 4135535976], length 0

20:16:03.595374 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50626: Flags [P.], seq 4055668309:4055668432, ack 1466261790, win 509, options [nop,nop,TS val 3163865906 ecr 4135534980], length 123

20:16:03.595402 IP amd256.utah.cloudlab.us.50626 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135535981 ecr 3163865906], length 0

20:16:03.595434 IP amd256.utah.cloudlab.us.50626 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135535981 ecr 3163865906], length 54

20:16:03.595494 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50626: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163865906 ecr 4135535981], length 0

20:16:03.600744 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50636: Flags [P.], seq 1502883789:1502883912, ack 3937021874, win 509, options [nop,nop,TS val 3163865911 ecr 4135534985], length 123

20:16:03.600774 IP amd256.utah.cloudlab.us.50636 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135535986 ecr 3163865911], length 0

20:16:03.600834 IP amd256.utah.cloudlab.us.50636 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135535986 ecr 3163865911], length 54

20:16:03.600886 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50636: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163865911 ecr 4135535986], length 0

20:16:03.606154 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50652: Flags [P.], seq 3299047113:3299047236, ack 1855938705, win 509, options [nop,nop,TS val 3163865917 ecr 4135534990], length 123

20:16:03.606182 IP amd256.utah.cloudlab.us.50652 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135535992 ecr 3163865917], length 0

20:16:03.606246 IP amd256.utah.cloudlab.us.50652 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135535992 ecr 3163865917], length 54

20:16:03.606300 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50652: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163865917 ecr 4135535992], length 0

20:16:03.610520 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50662: Flags [P.], seq 2560041329:2560041452, ack 440131728, win 509, options [nop,nop,TS val 3163865921 ecr 4135534996], length 123

20:16:03.610543 IP amd256.utah.cloudlab.us.50662 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135535996 ecr 3163865921], length 0

20:16:03.610611 IP amd256.utah.cloudlab.us.50662 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135535996 ecr 3163865921], length 54

20:16:03.610649 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50662: Flags [.], ack 55, win 509, options [nop,nop,TS val 3163865921 ecr 4135535996], length 0

20:16:03.615113 IP amd261.utah.cloudlab.us.8001 > amd256.utah.cloudlab.us.50678: Flags [P.], seq 1459855705:1459855828, ack 2777203608, win 509, options [nop,nop,TS val 3163865925 ecr 4135535000], length 123

20:16:03.615142 IP amd256.utah.cloudlab.us.50678 > amd261.utah.cloudlab.us.8001: Flags [.], ack 123, win 502, options [nop,nop,TS val 4135536001 ecr 3163865925], length 0

20:16:03.615200 IP amd256.utah.cloudlab.us.50678 > amd261.utah.cloudlab.us.8001: Flags [P.], seq 1:55, ack 123, win 502, options [nop,nop,TS val 4135536001 ecr 3163865925], length 54

